Ccode,ind,hum,lnpat,lngdp,inn,Qua,Mea,The level of science and education,The administrative level
1,0.4191,0.1142,10.60157252,11.5726729,6,21,102,1,1
2,0.3261,0.0491,12.17547425,12.20778114,17,45,25,1,1
3,0.2746,0.0605,8.811652248,11.5233064,0,4,9,1,1
4,0.3031,0.051,10.98867682,11.71829202,1,9,102,1,1
5,0.3221,0.038,10.89858946,11.4559166,4,6,23,1,1
6,0.2464,0.0585,10.18244417,11.39408821,2,5,0,1,1
7,0.2916,0.1062,11.1390317,12.12027028,14,8,14,1,1
8,0.1504,0.0227,10.14211067,12.15979308,11,39,28,1,0
9,0.2432,0.0157,10.79343431,11.409801,0,2,0,0,0
10,0.2226,0.0222,10.50232405,11.75373941,0,12,9,0,0
11,0.2156,0.0069,10.28315611,11.44519604,0,1,9,0,0
12,0.4161,0.0783,10.98529272,11.7871638,3,27,47,1,1
13,0.4566,0.0426,10.35628144,11.9314288,3,69,9,1,0
14,0.2428,0.0474,9.654000026,11.93419916,9,16,49,1,0
15,0.6823,0.0997,11.2096017,11.88900158,18,43,89,1,1
16,0.2702,0.0876,11.679287,11.99556536,28,10,0,1,1
17,0.2065,0.0091,12.36776623,12.18555999,3,17,63,1,0
18,0.0816,0.0164,11.37849081,11.84211194,0,6,18,0,0
19,0.1287,0.0558,11.16339636,11.550154,28,9,12,1,1
20,0.5412,0.0796,10.84242001,11.43409446,5,8,0,1,1
21,0.5329,0.0763,10.54270639,11.83163422,9,8,16,1,1
22,0.0675,0.0782,8.710619528,11.58107689,1,1,0,1,1
23,0.7654,0.1013,8.455530531,11.53813219,0,1,0,1,1
24,0.0975,0.0523,10.21405573,11.66341548,0,2,0,1,0
25,0.2128,0.0336,11.97728821,12.15852957,12,8,0,1,0
26,0.2792,0.0514,10.37349118,11.99584328,13,4,0,1,1
27,0.221,0.0207,11.06663836,12.04978479,0,0,0,1,0
28,0.5107,0.0573,10.06666876,11.93842762,4,0,0,1,1
29,0.3741,0.0734,9.524640032,11.81673437,7,1,0,1,1
30,0.1356,0.0683,9.463353357,11.29261826,0,0,0,1,0
31,0.0992,0.143,9.184201714,11.27697754,0,0,0,1,1
32,0.1938,0.052,8.418918622,11.43726862,0,0,0,1,1
33,0.0975,0.0291,9.317219734,11.68285329,0,0,0,1,0
34,0.1173,0.055,8.872346979,11.07578856,0,0,0,1,0
35,0.1188,0.0336,8.270013062,11.95500578,0,1,0,0,0
36,0.0929,0.0177,5.105945474,10.70703928,0,0,0,0,0
37,0.091,0.039,7.33432935,10.76876432,1,1,0,0,0
38,0.092,0.0232,9.37160852,12.23725944,0,3,0,1,0
39,0.7677,0.0322,9.872409597,11.99521179,0,3,0,0,0
40,0.2139,0.0296,9.863654652,11.49974812,0,3,0,1,0
41,0.2017,0.0264,10.53249613,11.8284019,2,13,0,0,0
42,0.1612,0.0193,9.481130577,10.84437333,0,0,0,0,0
43,0.0968,0.0426,8.415603336,11.87736509,0,1,0,0,0
44,0.1627,0.0205,9.474165108,11.10554127,0,0,0,0,0
45,0.0566,0.0191,8.134760782,10.91191525,0,0,0,0,0
46,0.1683,0.0126,8.217168596,11.44982378,0,0,0,0,0
47,0.244,0.0271,8.653819789,10.89528364,0,0,0,0,0
48,0.1407,0.015,8.01763716,10.94441299,0,0,0,0,0
49,0.1503,0.0625,8.493515064,10.83790087,0,0,0,0,0
50,0.0426,0.0629,7.444248649,11.42002719,0,0,0,0,0
51,0.4523,0.023,8.239593454,11.06575094,0,3,0,0,0
52,0.3221,0.017,8.162801353,11.47200253,0,1,0,0,0
53,0.0933,0.0152,11.30364784,11.60452075,0,1,0,0,0
54,0.2254,0.0322,10.6656476,12.14696331,22,1,0,0,0
55,0.6545,0.0258,10.11277556,11.88825035,0,0,0,0,0
56,0.1515,0.0359,9.931588983,11.30439955,0,0,0,0,0
57,0.3247,0.0153,9.930080797,11.61436329,0,1,0,0,0
58,0.0738,0.0127,8.183118079,12.1864178,0,0,0,0,0
59,0.1529,0.0144,8.76950712,10.76958901,0,0,0,0,0
60,0.6858,0.0172,9.679280936,11.91442619,0,0,0,0,0
61,0.0385,0.011,8.295798111,12.49056771,0,1,0,0,0
62,0.1204,0.0212,10.75820071,11.63542067,0,1,0,0,0
63,0.1399,0.0446,9.650078074,12.00376562,0,0,0,0,0
64,0.3553,0.0287,9.047939083,11.60956249,0,1,0,0,0
65,0.2838,0.0293,9.879553402,11.48182347,0,0,0,0,0
66,0.0853,0.0104,9.215526899,10.84769029,0,0,0,0,0
67,0.1991,0.007,8.409162447,11.38960564,0,1,0,0,0
68,0.134,0.0097,8.800264651,10.76250695,0,0,0,0,0
69,0.1414,0.0201,8.793763759,11.46014949,0,1,0,0,0
70,0.2434,0.0079,7.590852124,11.16113045,0,0,0,0,0
71,0.1272,0.0315,9.658162296,11.33153667,0,1,0,0,0
72,0.2534,0.012,9.700759186,11.67539604,0,0,0,0,0
73,0.0604,0.0067,8.723068501,11.7005482,0,0,0,0,0
74,0.2544,0.0085,8.206310726,11.31971067,0,2,0,0,0
75,0.1983,0.0121,8.021584533,10.6224533,0,0,0,0,0
76,0.1072,0.0473,9.311090275,11.69871965,0,0,0,0,0
77,0.2451,0.0376,9.29035231,10.93629332,0,0,0,0,0
78,0.3254,0.0079,8.497398564,10.87537286,0,1,0,0,0
79,0.4105,0.0293,7.357556201,11.02748018,0,0,0,0,0
80,0.1207,0.0112,8.631949429,10.61709107,0,3,8,0,0
81,0.5112,0.0099,8.908559375,11.71311543,0,2,0,0,0
82,0.2201,0.0076,10.0118037,10.95062829,0,1,0,0,0
83,0.1155,0.023,8.715716128,11.02470149,0,3,0,0,0
84,0.2373,0.0288,8.480944059,11.21644359,1,0,0,0,0
85,0.197,0.0096,7.963807953,11.11371665,0,1,0,0,0
86,0.2859,0.0188,8.03106018,11.71577488,0,1,0,0,0
87,0.1279,0.0118,9.039077443,10.81129178,0,0,0,0,0
88,0.2414,0.0098,7.153833802,11.09124103,0,0,0,0,0
89,0.407,0.0101,8.669055541,10.81617259,0,0,0,0,0
90,0.1317,0.0192,7.789454566,11.39989718,0,0,0,0,0
91,0.2717,0.0737,8.328451067,11.52730341,0,1,0,1,0
92,0.1757,0.0087,6.380122537,11.03236567,0,1,0,0,0
93,0.2897,0.0072,8.065893547,10.65867177,0,0,0,0,0
94,0.1425,0.0163,7.466799475,11.25963812,0,0,0,0,0
95,0.2667,0.0222,8.725832057,11.2186438,0,0,0,0,0
96,0.1123,0.015,7.717351272,10.80725985,0,0,0,0,0
97,0.2926,0.0083,8.332548939,10.67442529,0,0,0,0,0
98,0.0872,0.0087,8.490438454,11.39852701,0,0,0,0,0
99,0.1523,0.0217,7.990576882,11.35776831,0,0,0,0,0
100,0.089,0.0046,7.98752448,10.7071333,0,0,0,0,0
101,0.1771,0.013,8.679822115,10.93873681,0,0,0,0,0
102,0.2504,0.0085,8.755264763,11.43823953,0,0,0,0,0
103,0.1673,0.0125,8.787525626,10.7844031,0,1,0,0,0
104,0.1387,0.0251,7.642524134,12.09823997,0,0,0,0,0
105,0.1644,0.0731,7.777373603,11.02836358,0,0,0,0,0
106,0.3604,0.009,8.055157732,10.94829357,0,8,0,0,0
107,0.3046,0.0133,7.639161172,10.87686574,0,1,0,0,0
108,0.2682,0.0277,9.035748861,11.26583957,0,0,0,0,0
109,0.1695,0.0096,8.643649615,11.26743993,0,0,0,0,0
110,0.1427,0.0101,7.115582126,11.139422,0,0,0,0,0
111,0.1299,0.0163,7.094234846,11.00826364,0,0,0,0,0
112,0.141,0.0249,8.167919363,11.14942485,0,0,0,0,0
113,0.2437,0.0198,7.21964204,10.97196275,0,0,0,0,0
114,0.1933,0.034,7.50659178,11.1759058,0,0,0,0,0
115,0.031,0.0131,6.983789965,11.19595422,0,0,0,0,0
116,0.0697,0.0058,8.542080907,11.0074689,0,0,0,0,0
117,0.0809,0.018,7.836764783,10.68134346,0,0,0,0,0
118,0.1655,0.0074,7.19518732,11.50938641,0,0,0,0,0
119,0.0468,0.0093,9.088172738,10.87181707,0,0,0,0,0
120,0.1397,0.0076,7.972121129,10.7673083,0,0,0,0,0
121,0.08,0.0045,7.754052639,11.09721288,0,0,0,0,0
122,0.096,0.0165,7.775275846,11.68003194,0,1,0,0,0
123,0.1734,0.0549,7.323170718,11.56088385,0,0,0,0,0
124,0.1528,0.052,7.252762418,12.46392509,0,0,0,0,0
125,0.0518,0.0036,6.86171134,10.43460186,0,0,0,0,0
126,0.1705,0.0353,7.933438388,11.45664385,0,0,0,0,0
127,0.0793,0.0059,7.544332108,10.82740195,0,0,0,0,0
128,0.2591,0.0122,6.956545443,10.85806702,0,2,0,0,0
129,0.1915,0.0294,7.311218384,11.06146626,0,0,0,0,0
130,0.1489,0.0333,7.788211558,11.33559145,0,0,0,0,0
131,0.1923,0.0047,6.22059017,10.75545883,0,0,0,0,0
132,0.1298,0.0246,7.705712824,11.27828369,0,0,0,0,0
133,0.1092,0.0026,4.430816799,10.52679257,0,0,0,0,0
134,0.0966,0.0054,7.344072851,11.07439895,0,3,0,0,0
135,0.0435,0.0297,6.552507887,10.42101566,0,1,0,0,0
136,0.0763,0.0332,6.9902565,11.61360837,0,1,0,0,0
137,0.2006,0.005,6.862757913,10.28727472,0,2,0,0,0
138,0.0435,0.0089,6.553933404,11.75428128,0,0,0,0,0
139,0.0527,0.0291,7.363279587,11.44007731,0,0,0,0,0
140,0.0618,0.0095,5.958424693,11.2836914,0,0,0,0,0
141,0.05,0.0171,5.198497031,11.16988317,0,1,0,0,0
